history_date,security_band,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted
2024-12-18,Wormhole,106093051.2,24497067.0,417000.0,7055050.0,36616794.8,4197381.0,118000.0,2790790.0
2024-12-19,High Sec,926345893.7,1375380.0,1063194000.0,749405680.0,224090788.15,91290.0,128675000.0,126545390.0
2024-12-19,Low Sec,102305435.0,3450070.0,110928000.0,7316030.0,22658200.45,468830.0,941000.0,224580.0
2024-12-19,Null Sec,1109948354.2,2617600.0,418166000.0,797821990.0,103020364.25,316300.0,80245000.0,31931000.0
2024-12-19,Pochven,27191240.0,0.0,0.0,0.0,8409848.0,0.0,0.0,0.0
2024-12-19,Wormhole,141224303.7,26255633.0,988000.0,3114730.0,49001664.3,4401207.0,24000.0,684010.0
2024-12-20,High Sec,900253479.85,1266870.0,1045485000.0,816864660.0,211511730.3,80640.0,116671000.0,137342960.0
2024-12-20,Low Sec,100351668.6,3489170.0,115091000.0,29436670.0,25991014.6,395260.0,2737000.0,1727920.0
2024-12-20,Null Sec,1075350629.85,2960100.0,333537000.0,926113670.0,115186128.35,286060.0,67403000.0,37093100.0
2024-12-20,Pochven,19402752.0,0.0,0.0,0.0,7921264.0,0.0,0.0,0.0
2024-12-20,Wormhole,123263875.5,25477183.0,6410000.0,5842360.0,41185768.3,4476989.0,1210000.0,1389600.0
2024-12-21,High Sec,968590366.9,1406050.0,1109353000.0,758992740.0,235850240.1,120210.0,119724000.0,119538140.0
2024-12-21,Low Sec,116354245.3,3629470.0,99808000.0,37181660.0,21079654.7,490030.0,685000.0,354180.0
2024-12-21,Null Sec,1055460541.75,2879630.0,383716000.0,1329088120.0,92184744.2,278760.0,66859000.0,53249890.0
2024-12-21,Pochven,18386136.0,0.0,0.0,0.0,8285944.0,0.0,0.0,0.0
2024-12-21,Wormhole,123998921.8,25929409.0,8367000.0,8453180.0,43990308.5,4758478.0,2587000.0,2539360.0
2024-12-22,High Sec,1032295122.1,1430240.0,1076080000.0,870870600.0,261283854.55,60050.0,117898000.0,138131530.0
2024-12-22,Low Sec,117925626.75,3946730.0,90266000.0,28025030.0,22299849.8,434330.0,620000.0,166610.0
2024-12-22,Null Sec,1176878395.6,3745640.0,525472000.0,901319470.0,88573880.15,410850.0,96826000.0,34324170.0
2024-12-22,Pochven,10862792.0,0.0,0.0,0.0,6011592.0,0.0,0.0,0.0
2024-12-22,Wormhole,175550782.0,28063399.0,2161000.0,7393260.0,73506103.9,5054899.0,609000.0,1169430.0
2024-12-23,High Sec,977150528.4,1331700.0,1031491000.0,826689030.0,228500181.35,70700.0,123806000.0,127862480.0
2024-12-23,Low Sec,100596945.35,4346890.0,88355000.0,7169170.0,21055848.4,519000.0,537000.0,186590.0
2024-12-23,Null Sec,1122959039.45,2995240.0,365792000.0,616056100.0,124283188.75,398350.0,64703000.0,31663340.0
2024-12-23,Pochven,4185824.0,0.0,0.0,0.0,1656856.0,0.0,0.0,0.0
2024-12-23,Wormhole,152987160.9,22981165.0,2062000.0,2789130.0,55692501.4,4092354.0,559000.0,1242280.0
2024-12-24,High Sec,878799308.25,1377080.0,946401000.0,655788690.0,199253064.9,75360.0,109141000.0,101302470.0
2024-12-24,Low Sec,89607887.35,4074720.0,85895000.0,12919020.0,21965743.0,462010.0,265000.0,1177280.0
2024-12-24,Null Sec,995952058.3,3800320.0,279651000.0,579219710.0,94565476.15,630330.0,48615000.0,23863040.0
2024-12-24,Pochven,7919904.0,0.0,0.0,0.0,2801712.0,0.0,0.0,0.0
2024-12-24,Wormhole,120068748.9,23920344.0,754000.0,296200.0,46357635.3,4371243.0,208000.0,177880.0
2024-12-25,High Sec,931291596.1,1805120.0,952867000.0,590414060.0,212297167.9,166090.0,118469000.0,96739820.0
2024-12-25,Low Sec,107859221.6,3909510.0,87200000.0,6045650.0,24201967.3,445580.0,1006000.0,48310.0
2024-12-25,Null Sec,1000773050.15,3941780.0,354295000.0,664655900.0,84676423.1,508280.0,65781000.0,22076430.0
2024-12-25,Pochven,7827072.0,0.0,0.0,0.0,3420720.0,0.0,0.0,0.0
2024-12-25,Wormhole,131698127.25,26202127.0,2229000.0,701760.0,54931530.6,3994469.0,608000.0,171200.0
2024-12-26,High Sec,1041842261.1999999,1803250.0,974751000.0,677387620.0,243050057.1,156660.0,115097000.0,129036300.0
2024-12-26,Low Sec,102661339.1,3960310.0,88469000.0,54475470.0,34132687.8,524380.0,322000.0,1121560.0
2024-12-26,Null Sec,1026406657.05,3459900.0,395959000.0,749089830.0,84764962.55,528120.0,79210000.0,47420260.0
2024-12-26,Pochven,3209776.0,0.0,0.0,0.0,1203472.0,0.0,0.0,0.0
2024-12-26,Wormhole,156882381.0,24690996.0,2556000.0,1045920.0,54647123.4,4250946.0,708000.0,362030.0
2024-12-27,High Sec,962922411.8,1513070.0,1015795000.0,803320610.0,224957724.65,66340.0,124278000.0,138813610.0
2024-12-27,Low Sec,159959073.55,3555310.0,85982000.0,7673680.0,38581740.25,414800.0,1982000.0,730360.0
2024-12-27,Null Sec,1011543339.9,4028400.0,432354000.0,1122527530.0,96107176.8,407110.0,72229000.0,41828930.0
2024-12-27,Pochven,14360856.0,0.0,0.0,0.0,7388144.0,0.0,0.0,0.0
2024-12-27,Wormhole,162625705.3,25790502.0,2991000.0,1197750.0,64378536.9,4756365.0,975000.0,176860.0
2024-12-28,High Sec,991790999.6,1389040.0,1001799000.0,900397540.0,243605952.25,69860.0,128784000.0,146620650.0
2024-12-28,Low Sec,143057540.1,3712010.0,87465000.0,24305620.0,32183806.9,378620.0,1187000.0,404270.0
2024-12-28,Null Sec,948681912.8,3858650.0,406355000.0,1136300920.0,84006123.05,392680.0,70690000.0,40373860.0
2024-12-28,Pochven,9345704.0,0.0,0.0,0.0,3716192.0,0.0,0.0,0.0
2024-12-28,Wormhole,111871919.3,24472261.0,4771000.0,3941420.0,41457499.6,4606248.0,1461000.0,381010.0
2024-12-29,High Sec,1038821091.9,1591220.0,1077786000.0,830985310.0,250566349.25,134850.0,127048000.0,138393140.0
2024-12-29,Low Sec,109112923.3,4938980.0,91074000.0,22459360.0,36266475.5,531100.0,1500000.0,423230.0
2024-12-29,Null Sec,1045994060.0,3307360.0,414015000.0,972777660.0,77066169.55,387830.0,62089000.0,23192600.0
2024-12-29,Pochven,4139088.0,0.0,0.0,0.0,1848248.0,0.0,0.0,0.0
2024-12-29,Wormhole,133959885.4,23760479.0,1151000.0,6818530.0,44168643.7,4152287.0,220000.0,851610.0
2024-12-30,High Sec,983825766.3,1869700.0,1060664000.0,646636670.0,231889673.35,102920.0,129792000.0,113197540.0
2024-12-30,Low Sec,119702640.2,3865680.0,87921000.0,17521900.0,38936909.05,468560.0,861000.0,217360.0
2024-12-30,Null Sec,1014204687.8,4121710.0,427973000.0,661009340.0,98982797.95,558890.0,70471000.0,20075620.0
2024-12-30,Pochven,12520560.0,0.0,0.0,0.0,5848168.0,0.0,0.0,0.0
2024-12-30,Wormhole,99976682.5,25915080.0,1204000.0,3132730.0,40650211.0,4271579.0,360000.0,947340.0
2024-12-31,High Sec,919920845.55,1625570.0,973877000.0,599811680.0,226948184.35,127150.0,122788000.0,91974430.0
2024-12-31,Low Sec,130725573.5,3930680.0,85983000.0,3993130.0,34210044.2,520200.0,3001000.0,55760.0
